,price,living_rooms,bedrooms,bathrooms,town_city,outward_code,property_type,tags
805,4771.0,1.0,2.0,2.0,London,W2,flat,none
806,4771.0,1.0,2.0,2.0,London,W2,flat,none
807,4771.0,1.0,2.0,2.0,London,W2,flat,none
808,4767.0,2.0,2.0,2.0,London,SW7,flat,located
809,4767.0,1.0,3.0,2.0,London,W1U,flat,located
810,4762.0,1.0,3.0,3.0,London,NW8,flat,spacious
811,4762.0,1.0,3.0,3.0,London,NW8,flat,refurbished
812,4762.0,1.0,3.0,3.0,London,NW8,flat,spacious
813,4762.0,1.0,3.0,3.0,London,NW8,flat,located
814,4760.0,1.0,2.0,2.0,London,SE1,flat,furnished
815,4758.0,1.0,3.0,2.0,Oxford,OX3,flat,furnished
816,4752.0,1.0,5.0,3.0,Oxford,OX1,flat,family
817,4754.0,1.0,5.0,2.0,London,SW9,property,garden
818,4749.0,1.0,2.0,2.0,London,W1H,flat,refurbished
819,4749.0,1.0,2.0,2.0,London,W8,flat,spacious
820,4750.0,6.0,8.0,4.0,Tonbridge TN12,TN12,detached house,renovated
821,4750.0,4.0,4.0,5.0,Bishop's Stortford,CM22,detached house,none
822,4750.0,6.0,7.0,4.0,Crowborough,TN6,detached house,spacious
823,4750.0,1.0,2.0,2.0,London,NW3,flat,none
824,4750.0,6.0,8.0,4.0,Kent TN12,TN12,property,garden
825,4500.0,3.0,5.0,3.0,Winchester,SO22,detached house,garden
826,4500.0,2.0,5.0,5.0,London,W6,terraced house,none
827,4500.0,2.0,3.0,2.0,London,E14,flat,refurbished
828,4500.0,1.0,2.0,2.0,Berkshire,SL5,flat,none
829,4500.0,1.0,3.0,2.0,Richmond,TW10,duplex,garden
830,4500.0,1.0,2.0,2.0,London,WC1R,flat,none
831,4500.0,1.0,2.0,2.0,London,SW11,flat,none
832,4498.0,1.0,2.0,2.0,London,SW7,flat,none
833,4500.0,1.0,3.0,2.0,London,W2,flat,modern
